date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:05	550/550	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Sep%202021%2017:24:05%20GMT	https://tongtang.lpress.xyz/robots.txt		(from )
20:24:05	25783/25783	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2017:24:05%20GMT	https://tongtang.lpress.xyz/	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/index.html	(from )
20:24:06	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225f1460ce-3c2e%22	https://tongtang.lpress.xyz/frontend/img/favicon.ico	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/img/favicon.ico	(from https://tongtang.lpress.xyz/)
20:24:06	159521/159521	---MCZ	200	added ('OK')	text/css	etag:W/%225ef2fa96-26f21%22	https://tongtang.lpress.xyz/frontend/css/bootstrap.min.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/bootstrap.min.css	(from https://tongtang.lpress.xyz/)
20:24:06	34684/34684	---MCZ	200	added ('OK')	text/css	etag:W/%225ef2fa96-877c%22	https://tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/fontawesome-all.min.css	(from https://tongtang.lpress.xyz/)
20:24:06	3680/3680	---MCZ	200	added ('OK')	text/css	etag:W/%225f195cda-10f8%22	https://tongtang.lpress.xyz/frontend/css/font.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/font.css	(from https://tongtang.lpress.xyz/)
20:24:06	1121/1121	---MCZ	200	added ('OK')	text/css	etag:W/%225ef2fa96-60b%22	https://tongtang.lpress.xyz/frontend/css/nprogress.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/nprogress.css	(from https://tongtang.lpress.xyz/)
20:24:07	4712/4712	---MCZ	200	added ('OK')	text/css	etag:W/%225ef2fa96-1a1b%22	https://tongtang.lpress.xyz/frontend/css/default.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/default.css	(from https://tongtang.lpress.xyz/)
20:24:07	45938/45938	---MCZ	200	added ('OK')	text/css	etag:W/%225f19b8f2-f698%22	https://tongtang.lpress.xyz/frontend/css/style.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/style.css	(from https://tongtang.lpress.xyz/)
20:24:07	3135/3135	---MCZ	200	added ('OK')	text/css	etag:W/%225f182b8c-1221%22	https://tongtang.lpress.xyz/frontend/css/responsive.css	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/css/responsive.css	(from https://tongtang.lpress.xyz/)
20:24:07	3630/3630	---M--	200	added ('OK')	image/png	etag:%225ef2fa96-e2e%22	https://tongtang.lpress.xyz/frontend/img/logo/logo.png	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/img/logo/logo.png	(from https://tongtang.lpress.xyz/)
20:24:08	6009/6009	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2017:24:07%20GMT	https://tongtang.lpress.xyz/search	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/search.html	(from https://tongtang.lpress.xyz/)
20:24:08	329/329	---MC-	302	error ('Found')	text/html	date:Sun,%2005%20Sep%202021%2017:24:08%20GMT	https://tongtang.lpress.xyz/upload	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/upload	(from https://tongtang.lpress.xyz/)
20:24:08	5913/5913	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2017:24:08%20GMT	https://tongtang.lpress.xyz/login	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/login.html	(from https://tongtang.lpress.xyz/)
20:24:08	1333/1333	---M--	200	added ('OK')	image/png	etag:%225ef2fa96-535%22	https://tongtang.lpress.xyz/frontend/img/upload.png	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/img/upload.png	(from https://tongtang.lpress.xyz/)
20:24:09	329/329	---MC-	302	error ('Found')	text/html	date:Sun,%2005%20Sep%202021%2017:24:08%20GMT	https://tongtang.lpress.xyz/notification	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/notification	(from https://tongtang.lpress.xyz/)
20:24:09	329/329	---MC-	302	error ('Found')	text/html	date:Sun,%2005%20Sep%202021%2017:24:09%20GMT	https://tongtang.lpress.xyz/notification_count	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/notification_count	(from https://tongtang.lpress.xyz/)
20:24:09	329/329	---MC-	302	error ('Found')	text/html	date:Sun,%2005%20Sep%202021%2017:24:09%20GMT	https://tongtang.lpress.xyz/notification_unread	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/notification_unread	(from https://tongtang.lpress.xyz/)
20:24:09	323/323	---M--	200	added ('OK')	image/png	etag:%225ef2fa96-143%22	https://tongtang.lpress.xyz/frontend/img/cancel.png	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/frontend/img/cancel.png	(from https://tongtang.lpress.xyz/)
20:24:10	12820/12820	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2017:24:10%20GMT	https://tongtang.lpress.xyz/user/alison-phood	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/user/alison-phood.html	(from https://tongtang.lpress.xyz/)
20:24:10	84837/84837	---M--	200	added ('OK')	image/png	etag:%225ef2fa98-14b65%22	https://tongtang.lpress.xyz/uploads/profile3.png	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/uploads/profile3.png	(from https://tongtang.lpress.xyz/)
20:24:10	2155691/2155691	---M--	200	added ('OK')	video/mp4	etag:%225ef2fa96-20e4ab%22	https://tongtang.lpress.xyz/uploads/1.mp4	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/uploads/1.mp4	(from https://tongtang.lpress.xyz/)
20:24:11	1637604/1637604	---M--	200	added ('OK')	video/mp4	etag:%225ef2fa96-18fce4%22	https://tongtang.lpress.xyz/uploads/2.mp4	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/uploads/2.mp4	(from https://tongtang.lpress.xyz/)
20:24:11	12022/12022	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Sep%202021%2017:24:11%20GMT	https://tongtang.lpress.xyz/user/ankhi-alamgir	C:/My%20Web%20Sites/https___tongtang.lpress.xyz_/tongtang.lpress.xyz/user/ankhi-alamgir.html	(from https://tongtang.lpress.xyz/)
